ticker,historical_mean_forecast,exponential_weighted_forecast,momentum_forecast,combined_forecast
AAPL,0.2990149296683633,0.23635956183548906,0.0030344063118610265,0.21475667786391317
AMZN,0.18895320629098755,0.5345906122593785,0.1667946630094943,0.3227764600220453
GOOGL,0.23524829798055805,0.3607252968011681,0.1650541280784572,0.2714002635283819
MSFT,0.27584606513904775,0.39773619834953733,0.1171960546266817,0.2928721163207704
