portfolio,return,volatility,sharpe_ratio,AAPL,MSFT,GOOGL,AMZN
Best Simulated Sharpe,0.2855583011580198,0.30996847194917054,0.8567268131759114,0.571209619721093,0.0031460630988885204,0.08002036161047825,0.34562395556954023
Optimized Max Sharpe,0.28974736013020475,0.3137180063254612,0.8598402217638732,0.6,0.0,3.9898639947466563e-17,0.4000000000000001
Constrained Max Sharpe,0.2715627540805635,0.30310360643430423,0.8299563210083022,0.34773858131898344,0.0,0.3039577661561065,0.3483036525249101
Turnover-Constrained Max Sharpe,0.2715627540808531,0.3031036064343359,0.8299563210091709,0.3477385813216831,0.0,0.30395776615051456,0.3483036525278025
Best Simulated Min Volatility,0.26012074966567633,0.30079408490522275,0.7982894668335517,0.30686951243077876,0.12281768202108131,0.29960125590588876,0.27071154964225097
Optimized Min Volatility,0.25919583526066575,0.3007599657017862,0.7953047697107288,0.3008521541511283,0.13994132927357464,0.2822992441822309,0.2769072723930661
Risk Parity,0.2509253037406162,0.3018668600584155,0.764990577951912,0.25634902130909126,0.23656683376902896,0.2538095048091207,0.25327464011275913
