risk_free_rate,min_weight,max_weight,expected_return,expected_volatility,expected_sharpe_ratio,backtest_total_return,backtest_annualized_return,backtest_annualized_volatility,backtest_sharpe_ratio,backtest_max_drawdown,backtest_final_value,AAPL_weight,MSFT_weight,GOOGL_weight,AMZN_weight
0.0,0.0,0.4,0.2769940438757026,0.3045360764867749,0.909560690054177,1.1514367876449225,0.2117986170235382,0.31014212026489435,0.6829082642584621,-0.41295969948884537,2.130372668097855,0.4,0.0,0.2,0.39999999999999997
0.0,0.0,0.6,0.28966351610399216,0.3136262190487253,0.9235947076828731,1.2331830891686995,0.22318310523307594,0.3179945159632282,0.7018457678650158,-0.3941310582725207,2.2092933028796735,0.5963811642711244,4.38823283106843e-17,0.0,0.40361883572887564
0.0,0.05,0.4,0.2746792895514576,0.30396311780411533,0.9036599293223158,1.169183576476248,0.21429734175715498,0.30987936135191446,0.6915508694165283,-0.40767076298161153,2.1471625730908164,0.3999999999999998,0.05,0.15000000000000016,0.4
0.0,0.05,0.6,0.28253174319013086,0.3092472037766002,0.9136113107565281,1.281361720457928,0.22974721192063607,0.31218614639888836,0.7359301960410571,-0.3839839159151499,2.257528604717497,0.5636975794997185,0.05,0.05000000000000006,0.3363024205002815
0.02,0.0,0.4,0.2769940438757026,0.3045360764867749,0.843887025932913,1.1514367876449216,0.2117986170235382,0.31014212026489435,0.618421699251046,-0.4129596994888455,2.1303726680978543,0.39999999999999997,0.0,0.19999999999999998,0.4
0.02,0.0,0.6,0.28974736013020475,0.3137180063254612,0.8598402217638732,1.2370054605748235,0.2237077389714437,0.3179381380565313,0.6407150152436989,-0.3933362877689044,2.2130943496296944,0.6,0.0,3.9898639947466563e-17,0.4000000000000001
0.02,0.05,0.4,0.2746792895514576,0.30396311780411533,0.837862472892458,1.1691835764762488,0.2142973417571552,0.30987936135191446,0.6270096237112786,-0.4076707629816113,2.1471625730908173,0.4,0.05,0.14999999999999997,0.4
0.02,0.05,0.6,0.282817077687563,0.3095712572637913,0.8489711868295697,1.2945019952781776,0.23151946457935813,0.3121240495551328,0.6776775608314536,-0.38143841736505824,2.270599901195884,0.5760130505074034,0.05,0.05,0.32398694949259665
0.04,0.0,0.4,0.27699404387570253,0.30453607648677483,0.778213361811649,1.1514367876449225,0.2117986170235382,0.3101421202648943,0.5539351342436297,-0.4129596994888457,2.130372668097855,0.3999999999999998,0.0,0.20000000000000004,0.4
0.04,0.0,0.6,0.28974736013020463,0.3137180063254611,0.7960887009816986,1.2370054605748249,0.2237077389714437,0.31793813805653126,0.5778096962333578,-0.3933362877689044,2.2130943496296958,0.6,8.438194813953758e-17,4.163336342344337e-17,0.39999999999999974
0.04,0.05,0.4,0.2746792895514576,0.30396311780411533,0.7720650164626002,1.1691835764762457,0.21429734175715476,0.30987936135191446,0.5624683780060267,-0.4076707629816114,2.147162573090814,0.4,0.05000000000000005,0.15,0.39999999999999997
0.04,0.05,0.6,0.28314908318970305,0.30997801909672223,0.7844075005648494,1.3097939012544941,0.23357236304680185,0.31211087176217306,0.6202038460047717,-0.3784737133705407,2.285812506770749,0.5903429130820168,0.05,0.05000000000000011,0.3096570869179832
