Ticker,weight,marginal_risk_contribution,component_risk_contribution,percentage_risk_contribution
AMZN,0.3483038941526568,0.3330979643440113,0.11601931811534195,0.3771995731865886
AAPL,0.3477383336702681,0.29373028623504954,0.10214128028386701,0.3320795877243792
GOOGL,0.3039577721770753,0.294186017226279,0.08942012640174647,0.29072083908903223
MSFT,0.0,0.27421200101014537,0.0,0.0
