confidence_level,historical_var,parametric_var,historical_cvar,parametric_cvar
0.95,-0.030353045965514535,-0.0319522288200574,-0.04497283412459946,-0.04032120736082134
0.99,-0.054993040892277974,-0.045601350330219566,-0.06947625040591983,-0.0523882424517236
