strategy,total_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,total_transaction_cost
Optimized Max Sharpe Portfolio,1.2370055445228703,0.22370775048622593,0.3179382477662134,0.6407148303717661,-0.3933362855965561,0.0011630100247521642
Benchmark (SPY),0.569983481729847,0.11974713811078708,0.22627033951545233,0.4408316985973108,-0.337172582793301,0.0
