Ticker,contribution_to_return,percentage_of_total_return
AAPL,0.17940895780101793,0.703591469138932
AMZN,0.07558128251639505,0.296408530861068
MSFT,6.83581755822044e-18,2.6808153714868398e-17
GOOGL,0.0,0.0
