Date,daily_return,cumulative_value,drawdown,rolling_return,rolling_volatility,market_regime
2020-01-03,-0.01068901786374037,0.9893109821362597,0.0,,,Insufficient Data
2020-01-06,0.010731119362171058,0.9999273963718706,0.0,,,Insufficient Data
2020-01-07,-0.001977965806053983,0.9979495741733103,-0.0019779658060540273,,,Insufficient Data
2020-01-08,0.006464021704471087,1.0044003418807343,0.0,,,Insufficient Data
2020-01-09,0.014713857706690984,1.0191789455917193,0.0,,,Insufficient Data
2020-01-10,-0.0023272916559745355,1.0168070189356988,-0.0023272916559744505,,,Insufficient Data
2020-01-13,0.014712724671845416,1.0317670206496996,0.0,,,Insufficient Data
2020-01-14,-0.012751943424466054,1.0186099859751447,-0.012751943424466061,,,Insufficient Data
2020-01-15,-0.004162973852728682,1.014369539237402,-0.016861831270147176,,,Insufficient Data
2020-01-16,0.010987963126804091,1.0255153943314959,-0.006059145323589754,,,Insufficient Data
2020-01-17,0.004081601648366382,1.0297011396554245,-0.002002274692763706,,,Insufficient Data
2020-01-21,0.0013929781493023027,1.0311354908432762,-0.0006120856683573539,,,Insufficient Data
2020-01-22,0.0012612555535776856,1.0324360162075932,0.0,,,Insufficient Data
2020-01-23,0.0023725389618281536,1.0348855108816404,0.0,,,Insufficient Data
2020-01-24,-0.00644732786956523,1.028213264685524,-0.006447327869565145,,,Insufficient Data
2020-01-27,-0.025010447755954467,1.0024971905471272,-0.03129652506867253,,,Insufficient Data
2020-01-28,0.022652655261949203,1.0252064138056638,-0.009352819200000972,,,Insufficient Data
2020-01-29,0.013934321420131244,1.0394919694976121,0.0,,,Insufficient Data
2020-01-30,0.0016674443726940732,1.0412252645326117,0.0,,,Insufficient Data
2020-01-31,0.00038886854293230345,1.0416301642840948,0.0,,,Insufficient Data
2020-02-03,-0.0025604518405709094,1.0389631204127594,-0.0025604518405709653,,,Insufficient Data
2020-02-04,0.028881853531597487,1.0689703010812523,0.0,,,Insufficient Data
2020-02-05,0.003009619684768908,1.0721874951418198,0.0,,,Insufficient Data
2020-02-06,0.009085328534869467,1.081928670786162,0.0,,,Insufficient Data
2020-02-07,-0.00268077047254718,1.0790282683521162,-0.0026807704725472226,,,Insufficient Data
2020-02-10,0.013352499773910634,1.093435993061331,0.0,,,Insufficient Data
2020-02-11,-0.0003870063447754606,1.0930128263944106,-0.00038700634477539797,,,Insufficient Data
2020-02-12,0.015800855236983512,1.1102833638364349,0.0,,,Insufficient Data
