forecast_model,observations,mean_absolute_error,mean_squared_error,root_mean_squared_error,directional_accuracy
Momentum,4,0.08129169079137555,0.007813494712310971,0.08839397441178314,1.0
Historical Mean,4,0.10739043936826673,0.016230698654240348,0.1273997592393343,1.0
Combined,4,0.12992850847988377,0.01890686615133516,0.1375022405320552,1.0
Exponential Weighted,4,0.23683004635749932,0.06377382797916831,0.2525348054806868,1.0
