risk_free_rate,min_weight,max_weight,expected_return,expected_volatility,expected_sharpe_ratio,backtest_total_return,backtest_annualized_return,backtest_annualized_volatility,backtest_sharpe_ratio,backtest_max_drawdown,backtest_final_value,AAPL_weight,MSFT_weight,GOOGL_weight,AMZN_weight
0.0,0.0,0.4,0.276994057519076,0.3045361289888442,0.9095605780463011,1.1514368502141155,0.21179862586037612,0.3101421969701491,0.682908123852497,-0.41295972200339515,2.130372550281685,0.4,0.0,0.19999999999999998,0.4
0.0,0.0,0.6,0.28966348288730315,0.31362625596417826,0.9235944930592416,1.233180589586932,0.22318276193675235,0.3179946639018804,0.7018443617834325,-0.394131593012103,2.209290538623891,0.596378718981775,2.3499309578321907e-17,0.0,0.403621281018225
0.0,0.05,0.4,0.27467930293459747,0.3039631662352713,0.9036598293689053,1.1691836434601206,0.21429735115944104,0.30987943366248777,0.6915507383844256,-0.4076707874051956,2.147162468903374,0.4,0.05000000000000014,0.14999999999999997,0.39999999999999986
0.0,0.05,0.6,0.2825317137776039,0.30924724649343965,0.9136110894478005,1.2813593794419287,0.22974689550296912,0.3121862717631491,0.735928886960393,-0.38398439849817867,2.2575260182439583,0.5636952955704237,0.05000000000000004,0.05,0.3363047044295763
0.02,0.0,0.4,0.27699405751907596,0.3045361289888442,0.8438869252471853,1.15143685021412,0.2117986258603768,0.3101421969701491,0.6184215747940847,-0.41295972200339504,2.1303725502816895,0.3999999999999999,7.632783294297951e-17,0.19999999999999998,0.4
0.02,0.0,0.6,0.28974738385663706,0.3137181063098508,0.8598400233559198,1.2370055445228703,0.22370775048622593,0.3179382477662134,0.6407148303717661,-0.3933362855965561,2.213094152296179,0.5999999999999999,2.4781276306314753e-17,0.0,0.40000000000000013
0.02,0.05,0.4,0.27467930293459747,0.30396316623527125,0.8378623834227089,1.1691836434601193,0.21429735115944104,0.30987943366248777,0.627009507739918,-0.40767078740519613,2.147162468903373,0.4,0.05000000000000005,0.14999999999999974,0.4
0.02,0.05,0.6,0.2828170545444892,0.3095713073394161,0.8489709747432592,1.2944999007733728,0.23151918269639427,0.31212416967880735,0.6776763969097906,-0.38143885369635233,2.2705975524036894,0.5760109947935895,0.050000000000000044,0.05,0.32398900520641044
0.04,0.0,0.4,0.27699405751907596,0.3045361289888442,0.7782132724480699,1.1514368502141141,0.21179862586037612,0.3101421969701491,0.5539350257356679,-0.4129597220033949,2.1303725502816837,0.4,0.0,0.1999999999999999,0.4
0.04,0.0,0.6,0.28974738385663706,0.3137181063098508,0.7960885228918486,1.2370055445228703,0.22370775048622593,0.3179382477662134,0.5778095330679122,-0.39333628559655587,2.213094152296179,0.6,5.3156939991314783e-17,0.0,0.4
0.04,0.05,0.4,0.2746793029345975,0.3039631662352713,0.7720649374765125,1.1691836434601197,0.21429735115944104,0.30987943366248777,0.5624682770954105,-0.4076707874051956,2.1471624689033733,0.4,0.05,0.14999999999999994,0.4
0.04,0.05,0.6,0.2831490554925036,0.3099780637136021,0.7844072983085544,1.3097915479432594,0.23357204790543573,0.31211098738735565,0.6202026065336711,-0.3784742016475725,2.2858098916597003,0.5903406114907844,0.05,0.05000000000000004,0.3096593885092157
