market_regime,days,average_daily_return,average_rolling_return,average_rolling_volatility,average_drawdown,worst_drawdown,percentage_of_period
Bull / Low Volatility,291,0.0009262754148087103,0.110829812628507,0.20137850264845863,-0.05063493838851651,-0.21002175990004224,0.28955223880597014
Bull / High Volatility,248,0.0034576341435953307,0.18317112802457697,0.3711676795752185,-0.05610286602125687,-0.14906970664170704,0.24676616915422886
Crisis,248,-0.001609274156149968,-0.05122488737543638,0.3671649365154232,-0.2573264561940929,-0.3933362855965561,0.24676616915422886
Bear / High Volatility,93,0.003925130879765998,-0.04258408718764026,0.3274363056500045,-0.09246478738416114,-0.14943193298830726,0.09253731343283582
Bear / Low Volatility,63,-0.00010359019920540929,-0.043642595134502374,0.20226163029636499,-0.09350816120244111,-0.15852911695421024,0.0626865671641791
Insufficient Data,62,-0.0014551769539768841,,,-0.0767881520379757,-0.243042430993463,0.061691542288557215
