portfolio,return,volatility,sharpe_ratio,AAPL,MSFT,GOOGL,AMZN
Best Simulated Sharpe,0.28598921986865816,0.3109979084624576,0.8552765553430314,0.5054432919051112,0.014403142429491585,0.007780285168469094,0.4723732804969283
Optimized Max Sharpe,0.28974738385663706,0.3137181063098508,0.8598400233559198,0.5999999999999999,2.4781276306314753e-17,0.0,0.40000000000000013
Constrained Max Sharpe,0.2715627606223768,0.30310365739288353,0.829956203056635,0.34773833366775875,8.151669860560438e-17,0.30395777218227293,0.34830389414996826
Turnover-Constrained Max Sharpe,0.271562760622646,0.303103657392913,0.8299562030574424,0.3477383336702681,0.0,0.3039577721770753,0.3483038941526568
Best Simulated Min Volatility,0.25886922895749154,0.3007755801033969,0.7941776020359633,0.30884973906009855,0.13775320863843088,0.29959194022137414,0.2538051120800964
Optimized Min Volatility,0.25919578389140835,0.3007600102944547,0.7953044809954196,0.3008507456882015,0.1399417182086057,0.28229915714418297,0.2769083789590097
Risk Parity,0.25092530623374065,0.30186689389273,0.7649905004680678,0.25634885877884217,0.2365668723807407,0.2538095013074429,0.2532747675329743
