market_regime,days,average_daily_return,total_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown
Bear / High Volatility,93,0.003925130879765998,0.413717317157563,1.5552540303604814,0.3173106104628372,4.838331841854016,-0.08753259277622039
Bull / High Volatility,248,0.0034576341435953307,1.23536994580593,1.2645612701229814,0.32538628166052397,3.824873205384344,-0.14699293484356113
Bull / Low Volatility,291,0.0009262754148087102,0.2820484291359522,0.24006089489119042,0.19099946565930803,1.1521545054147964,-0.10182099049245963
Bear / Low Volatility,63,-0.00010359019920540905,-0.012615468628059734,-0.049514979901054024,0.22335042318537776,-0.3112372876202592,-0.13004601309171637
Insufficient Data,62,-0.0014551769539768843,-0.11923312388977558,-0.4031206738019685,0.5484980319743458,-0.7714169406933417,-0.243042430993463
Crisis,248,-0.0016092741561499677,-0.37188931443719275,-0.37658291396152155,0.3651462727338322,-1.086093282542157,-0.5235693953888578
